
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,640 K
Secure System                  140 Services                   0     39,644 K
Registry                       180 Services                   0     50,492 K
smss.exe                       632 Services                   0        144 K
csrss.exe                      972 Services                   0      1,252 K
wininit.exe                    660 Services                   0         20 K
services.exe                  1056 Services                   0      7,364 K
LsaIso.exe                    1076 Services                   0        404 K
lsass.exe                     1084 Services                   0     15,432 K
svchost.exe                   1252 Services                   0     18,888 K
fontdrvhost.exe               1284 Services                   0         76 K
svchost.exe                   1420 Services                   0     13,848 K
svchost.exe                   1508 Services                   0      3,328 K
WUDFHost.exe                  1716 Services                   0      8,080 K
svchost.exe                   1828 Services                   0        988 K
svchost.exe                   1856 Services                   0      1,772 K
svchost.exe                   1960 Services                   0     15,136 K
svchost.exe                   1968 Services                   0      2,812 K
svchost.exe                    612 Services                   0      2,492 K
svchost.exe                   1528 Services                   0      5,400 K
svchost.exe                   1504 Services                   0      6,568 K
svchost.exe                   2144 Services                   0      3,360 K
svchost.exe                   2152 Services                   0      2,384 K
svchost.exe                   2220 Services                   0     10,296 K
svchost.exe                   2252 Services                   0      2,820 K
IntelCpHDCPSvc.exe            2260 Services                   0      1,756 K
svchost.exe                   2308 Services                   0      1,040 K
svchost.exe                   2328 Services                   0      4,688 K
svchost.exe                   2416 Services                   0      1,324 K
svchost.exe                   2624 Services                   0      5,304 K
IntelCpHeciSvc.exe            2652 Services                   0      1,544 K
svchost.exe                   2724 Services                   0      5,316 K
igfxCUIService.exe            2812 Services                   0         12 K
svchost.exe                   2868 Services                   0      1,200 K
svchost.exe                   2984 Services                   0      2,064 K
svchost.exe                   3044 Services                   0      5,708 K
NVDisplay.Container.exe       2612 Services                   0      7,160 K
svchost.exe                   3080 Services                   0      1,460 K
svchost.exe                   3108 Services                   0      9,616 K
svchost.exe                   3216 Services                   0      3,916 K
svchost.exe                   3248 Services                   0      1,372 K
svchost.exe                   3264 Services                   0      6,520 K
svchost.exe                   3376 Services                   0      2,092 K
svchost.exe                   3384 Services                   0      3,136 K
Memory Compression            3436 Services                   0    105,524 K
svchost.exe                   3548 Services                   0      8,972 K
svchost.exe                   3576 Services                   0      4,240 K
svchost.exe                   3660 Services                   0      9,932 K
svchost.exe                   3720 Services                   0      1,000 K
svchost.exe                   3780 Services                   0      1,992 K
svchost.exe                   3860 Services                   0      2,800 K
svchost.exe                   3868 Services                   0      3,360 K
svchost.exe                   3992 Services                   0     14,180 K
svchost.exe                    960 Services                   0     10,108 K
svchost.exe                   4104 Services                   0      2,504 K
spoolsv.exe                   4188 Services                   0      2,816 K
svchost.exe                   4296 Services                   0     14,540 K
svchost.exe                   4364 Services                   0      1,492 K
svchost.exe                   4384 Services                   0      2,604 K
NgcIso.exe                    4500 Services                   0          4 K
svchost.exe                   4556 Services                   0     14,208 K
AdminService.exe              4644 Services                   0      2,524 K
svchost.exe                   4656 Services                   0     10,352 K
svchost.exe                   4668 Services                   0     31,864 K
armsvc.exe                    4676 Services                   0         12 K
Dell.TechHub.exe              4684 Services                   0     11,108 K
svchost.exe                   4696 Services                   0     34,816 K
OfficeClickToRun.exe          4708 Services                   0     18,360 K
OneApp.IGCC.WinService.ex     4756 Services                   0     10,136 K
svchost.exe                   4828 Services                   0      2,712 K
MpDefenderCoreService.exe     4916 Services                   0      9,620 K
esif_uf.exe                   4948 Services                   0      1,916 K
SessionService.exe            4980 Services                   0         16 K
RstMwService.exe              4988 Services                   0         28 K
RtkAudUService64.exe          4996 Services                   0      2,892 K
SmartByteAnalyticsService     5060 Services                   0      1,516 K
QcomWlanSrvx64.exe            5072 Services                   0        684 K
TeamViewer_Service.exe        5100 Services                   0      5,680 K
SmartByteNetworkService.e     4136 Services                   0     23,956 K
vmware-usbarbitrator64.ex     4332 Services                   0      2,720 K
WavesSysSvc64.exe             5080 Services                   0      2,980 K
svchost.exe                   5128 Services                   0        296 K
vmnetdhcp.exe                 5136 Services                   0        864 K
MsMpEng.exe                   5144 Services                   0    146,956 K
